dt,dpay,dau,arpu
2018-08-02,0,1,0
2018-08-03,0,2,0
2018-08-04,0,1,0
2018-08-05,0,2,0
2018-08-06,0,3,0
2018-08-07,902,2,451
2018-08-08,0,6,0
2018-08-09,0,6,0
2018-08-10,317,5,63.4
2018-08-11,270,5,54
2018-08-12,330,6,55
2018-08-13,0,6,0
2018-08-14,1020,9,113.33333333333333
2018-08-15,1488,6,248
2018-08-16,28,11,2.5454545454545454
2018-08-17,1463,7,209
2018-08-18,839,13,64.53846153846153
2018-08-19,763,14,54.5
2018-08-20,508,8,63.5
2018-08-21,277,11,25.181818181818183
2018-08-22,0,13,0
2018-08-23,887,15,59.13333333333333
2018-08-24,2225,14,158.92857142857142
2018-08-25,1057,13,81.3076923076923
2018-08-26,0,13,0
2018-08-27,3274,12,272.8333333333333
2018-08-28,2535,16,158.4375
2018-08-29,537,14,38.357142857142854
2018-08-30,1907,19,100.36842105263158
2018-08-31,863,17,50.76470588235294
2018-09-01,1114,18,61.888888888888886
2018-09-02,309,20,15.45
2018-09-03,0,20,0
2018-09-04,1098,16,68.625
2018-09-05,800,16,50
2018-09-06,2663,23,115.78260869565217
2018-09-07,1168,24,48.666666666666664
2018-09-08,2691,24,112.125
2018-09-09,1532,26,58.92307692307692
2018-09-10,2519,26,96.88461538461539
2018-09-11,3076,23,133.7391304347826
2018-09-12,2194,25,87.76
2018-09-13,1596,26,61.38461538461539
2018-09-14,1438,24,59.916666666666664
2018-09-15,3519,29,121.34482758620689
2018-09-16,5339,31,172.2258064516129
2018-09-17,1673,26,64.34615384615384
2018-09-18,700,30,23.333333333333332
2018-09-19,3273,32,102.28125
2018-09-20,3900,35,111.42857142857143
2018-09-21,4230,34,124.41176470588235
2018-09-22,1052,30,35.06666666666667
2018-09-23,3667,32,114.59375
2018-09-24,7411,35,211.74285714285713
2018-09-25,5528,38,145.47368421052633
2018-09-26,12682,37,342.7567567567568
2018-09-27,5891,36,163.63888888888889
2018-09-28,10937,34,321.6764705882353
2018-09-29,10990,42,261.6666666666667
2018-09-30,13404,41,326.9268292682927
